happiness,amplitude,likes_count
0.097,0.097,31
0.001,0.002,39
1.0,1.0,17
0.003,0.022,19
0.965,0.965,8
0.154,0.842,16
0.763,0.763,8
0.0,0.051,38
0.0,0.001,61
0.001,0.001,34
0.0165,0.033,32
0.0,0.002,46
0.004333333333333333,0.088,26
0.0,0.039,18
0.35185714285714287,1.0,15
0.012,0.012,6
0.0,0.577,17
0.2042,0.982,17
0.154,0.154,14
0.001,0.004,53
0.356,0.356,45
0.44133333333333336,0.982,39
0.9565999999999999,1.0,39
0.001,0.025,61
0.451,0.451,4
0.067,0.067,10
0.001,0.001,16
0.9085,0.959,11
0.0,0.0,11
0.842,0.842,84
0.618,0.618,44
0.0,0.001,44
0.0,0.0,25
0.001,0.004,118
0.998,0.998,69
0.004,0.005,6
0.046,0.088,9
0.0,0.01,20
0.067,0.096,71
0.303,0.303,3
0.0,0.391,11
0.0,0.856,14
1.0,1.0,14
0.0,1.0,72
1.0,1.0,38
0.0,0.563,139
0.053,0.946,46
0.013,0.013,13
0.5303333333333333,1.0,21
0.987,0.987,309
0.326,0.326,282
0.008,0.177,132
0.296,0.296,130
0.001,0.138,160
0.422,0.422,166
0.002,0.013,159
0.968,0.968,102
0.903,0.998,110
0.083,0.083,106
0.139,0.139,120
0.087,0.087,83
0.001,0.001,76
0.83,0.83,87
0.012,0.012,72
0.1,0.1,48
0.132,0.132,68
0.949,0.949,143
0.689,0.689,23
0.5,1.0,53
0.193,0.193,58
1.0,1.0,73
1.0,1.0,72
1.0,1.0,59
1.0,1.0,63
0.023,0.023,50
0.6,0.6,13
1.0,1.0,15
0.5785,0.959,6
0.983,0.983,28
0.999,1.0,17
0.4975,0.992,33
0.8583333333333333,0.993,31
0.275,0.275,33
0.9956666666666667,0.999,29
0.516,0.981,28
0.146,0.291,67
0.0,0.01,70
0.996,0.999,124
0.969,0.969,99
0.003,0.007,123
0.0,0.001,43
1.0,1.0,41
0.275,0.275,91
0.589,0.952,82
0.001,0.093,22
0.999,0.999,76
0.008,0.008,63
0.0,0.001,64
0.0,0.008,75
0.0,0.003,58
0.0,0.003,41
0.0,0.011,23
0.27299999999999996,0.44,46
0.5775,0.975,56
0.0,0.006,13
1.0,1.0,141
0.0,0.0,157
0.0,0.006,85
0.973,0.998,55
0.633,0.633,76
0.999,0.999,24
1.0,1.0,52
0.994,0.994,51
1.0,1.0,39
1.0,1.0,99
1.0,1.0,113
1.0,1.0,89
1.0,1.0,114
0.071,0.432,152
1.0,1.0,191
0.48250000000000004,0.762,108
1.0,1.0,119
0.0,0.496,127
0.003,0.384,77
0.039,0.059,16
1.0,1.0,28
0.6093999999999999,1.0,29
0.614,0.614,43
0.599,0.599,16
0.485,0.97,28
0.9743333333333334,1.0,34
0.9996666666666667,1.0,38
0.5815,0.75,41
0.8026666666666666,1.0,22
0.0,0.003,67
0.301,0.301,68
0.004,0.004,75
1.0,1.0,64
0.7005,1.0,96
1.0,1.0,84
1.0,1.0,120
0.849,0.849,135
0.0,0.86,11
0.014142857142857143,0.602,10
0.0,0.004,12
0.0,0.039,15
0.14866666666666664,0.83,15
0.10069999999999998,0.853,27
0.913,0.913,42
0.013,0.013,119
0.998,0.998,45
0.998,0.998,28
0.004,0.004,12
0.0,0.001,65
0.0,0.0,98
0.0,0.003,89
0.0,0.0,70
0.0,0.033,39
0.003,0.029,47
0.0,0.019,34
0.492,0.999,41
1.0,1.0,34
0.037,0.037,20
1.0,1.0,25
0.471,1.0,23
0.002,0.008,35
0.077,0.077,18
0.815,0.815,34
1.0,1.0,43
1.0,1.0,19
1.0,1.0,21
1.0,1.0,33
1.0,1.0,15
1.0,1.0,24
1.0,1.0,28
0.519,1.0,9
1.0,1.0,50
1.0,1.0,59
1.0,1.0,23
1.0,1.0,13
0.003,0.003,28
0.756,0.756,24
0.37925,0.838,29
0.24,0.24,14
0.0,0.001,21
0.0,0.04,12
0.28575,0.658,12
0.003,0.085,48
0.0,0.002,38
0.419,0.419,38
0.002,0.059,58
0.0,0.001,31
0.0,0.006,44
0.825,0.825,49
0.001,0.026,16
0.845,0.845,20
0.519,0.519,4
0.0,0.03,53
0.0,0.0,48
0.452,0.452,41
0.511,0.511,63
1.0,1.0,68
0.9995,1.0,24
0.991,0.991,15
1.0,1.0,65
0.009,0.857,48
0.974,0.991,5
0.008,0.02,64
0.008,0.306,30
0.004,0.012,27
0.002,0.006,33
0.0,0.003,23
0.5,1.0,24
0.0085,0.016,19
0.0,0.007,11
0.957,0.957,45
1.0,1.0,36
0.001,0.626,55
0.0,0.121,83
0.001,0.199,113
0.002,0.002,104
1.0,1.0,80
0.002,0.006,80
0.001,0.003,57
0.031,0.031,66
0.0,0.001,129
0.001,0.008,89
0.004,0.242,131
0.0,0.037,128
0.209,0.209,92
0.606,0.606,134
0.087,0.087,98
0.8,1.0,36
0.6663333333333333,1.0,40
